Year,Week,Ranking,TV,movie_zh_name,first_air_date,genre_ids,category,id,origin_country,original_language,overview,imdb_score,popularity,vote_average,vote_count
2020,33,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,2020/6/20,"18, 35","浪漫, 喜劇",96462,KR,ko,"Desperate to escape from his emotional baggage and the heavy responsibility hes had all his life, a psychiatric ward worker begins to heal with help from the unexpecteda woman who writes fairy tales but doesnt believe in them.",8.6,110.772,8.6,924
2020,33,10,Mystic Pop-up Bar,雙甲路邊攤,2020/5/20,"18, 10765, 35","網路漫改, 奇幻",99491,KR,ko,"At this mysterious late-night food cart run by an equally mysterious woman and her part-timer, customers are provided a space for respite and counseling through their dreams. But most importantly, everyone here is treated equallyliving or dead.",8,4.163,8.3,25
2020,33,2,The Umbrella Academy,雨傘學院,2019/2/15,"10759, 10765, 18",,75006,US,en,"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.",,171.834,8.7,7712
2020,33,3,Was It Love?,我們，愛過嗎？,2020/7/8,"35, 18","浪漫, 喜劇",96161,KR,ko,"After 14 years devoid of romance, a struggling movie producer and single mom faces the unexpected arrival of 4 men into her lifean author, an actor, a CEO, and a younger manwho might just revive her dormant desire for love.",7.1,4.888,8.3,8
2020,33,4,Hospital Playlist,機智醫生生活,2020/3/12,"18, 35",醫療,96102,KR,ko,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",8.8,40.992,9,49
2020,33,5,Demon Slayer: Kimetsu no Yaiba,鬼滅之刃,2019/4/6,"16, 10765, 10759",,85937,JP,ja,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a demon slayer so that he can turn his sister back into a human, and kill the demon that massacred his family.",,177.86,8.8,3802
2020,33,6,Dark Desire,暗慾,2020/7/15,"9648, 18",,105214,MX,es,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her.",,263.888,7.3,4022
2020,33,7,Crash Landing on You,愛的迫降,2019/12/14,"18, 35","浪漫, 喜劇",94796,KR,ko,"A paragliding mishap drops a South Korean heiress in North Korea -- and into the life of an army officer, who decides he will help her hide.",8.7,62.23,8.8,284
2020,33,8,Grey's Anatomy,實習醫生,2005/3/27,18,,1416,US,en,Follows the personal and professional lives of a group of doctors at Seattles Grey Sloan Memorial Hospital.,,1055.118,8.3,7889
2020,33,9,BG: Personal Bodyguard,BG 終極保鏢,2018/1/18,"80, 18, 9648",,77271,JP,ja,"Akira Shimazaki (Takuya Kimura) lives with his middle school student son. He used to work as a bodyguard, but, due to an incident, he now works as a security guard at a construction site. The private security company where he works establishes a new bodyguard division. Hiding his past as a bodyguard, Akira Shimazaki begins work as a novice bodyguard.",,4.491,7.4,5
2020,34,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,2020/6/20,"18, 35","浪漫, 喜劇",96462,KR,ko,"Desperate to escape from his emotional baggage and the heavy responsibility hes had all his life, a psychiatric ward worker begins to heal with help from the unexpecteda woman who writes fairy tales but doesnt believe in them.",8.6,110.772,8.6,924
2020,34,10,Lucifer,魔鬼神探,2016/1/25,"80, 10765",,63174,US,en,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals.But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",,831.69,8.5,11770
2020,34,2,Was It Love?,我們，愛過嗎？,2020/7/8,"35, 18","浪漫, 喜劇",96161,KR,ko,"After 14 years devoid of romance, a struggling movie producer and single mom faces the unexpected arrival of 4 men into her lifean author, an actor, a CEO, and a younger manwho might just revive her dormant desire for love.",7.1,4.888,8.3,8
2020,34,3,Bimilui Soop,秘密森林,2017/6/10,"80,18,9648","犯罪, 驚悚",70626,KR,ko,"With the help of a gutsy female detective, a prosecutor who has lost the ability to feel empathy tackles a murder case amid political corruption.",8.5,20.743,8.6,87
2020,34,4,The Umbrella Academy,雨傘學院,2019/2/15,"10759, 10765, 18",,75006,US,en,"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.",,171.834,8.7,7712
2020,34,5,Demon Slayer: Kimetsu no Yaiba,鬼滅之刃,2019/4/6,"16, 10765, 10759",,85937,JP,ja,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a demon slayer so that he can turn his sister back into a human, and kill the demon that massacred his family.",,177.86,8.8,3802
2020,34,6,Hospital Playlist,機智醫生生活,2020/3/12,"18, 35",醫療,96102,KR,ko,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",8.8,40.992,9,49
2020,34,7,Goedam,韓國都市怪談,2020/8/20,9648,恐怖,107851,KR,ko,"When night falls on this city, shadows and spirits come alive in this horror anthology series focused on urban legends.",5.7,5.328,7.5,42
2020,34,8,Crash Landing on You,愛的迫降,2019/12/14,"18, 35","浪漫, 喜劇",94796,KR,ko,"A paragliding mishap drops a South Korean heiress in North Korea -- and into the life of an army officer, who decides he will help her hide.",8.7,62.23,8.8,284
2020,34,9,The Great Pretender,NA,2007/11/5,NA,,29969,GB,en,NA,,0.688,0,0
2020,35,1,It's Okay to Not Be Okay,雖然是精神病但沒關係,2020/6/20,"18, 35","浪漫, 喜劇",96462,KR,ko,"Desperate to escape from his emotional baggage and the heavy responsibility hes had all his life, a psychiatric ward worker begins to heal with help from the unexpecteda woman who writes fairy tales but doesnt believe in them.",8.6,110.772,8.6,924
2020,35,10,Crash Landing on You,愛的迫降,2019/12/14,"18, 35","浪漫, 喜劇",94796,KR,ko,"A paragliding mishap drops a South Korean heiress in North Korea -- and into the life of an army officer, who decides he will help her hide.",8.7,62.23,8.8,284
2020,35,2,Goedam,韓國都市怪談,2020/8/20,9648,恐怖,107851,KR,ko,"When night falls on this city, shadows and spirits come alive in this horror anthology series focused on urban legends.",5.7,5.328,7.5,42
2020,35,3,Was It Love?,我們，愛過嗎？,2020/7/8,"35, 18","浪漫, 喜劇",96161,KR,ko,"After 14 years devoid of romance, a struggling movie producer and single mom faces the unexpected arrival of 4 men into her lifean author, an actor, a CEO, and a younger manwho might just revive her dormant desire for love.",7.1,4.888,8.3,8
